Pitch#	Outs	h	ab	woba total	pa,
1	43817	8764	49841	11129.49323	55804,
2	6588	3739	10168	4265.966767	12336,
3	7031	3927	10760	4553.351453	13210,
4	9334	4244	13350	4966.605628	16068,
5	10425	4976	15166	5989.813617	18667,
6	10541	4943	15195	6003.192329	18825,
7	10557	4827	15165	5757.850677	18490,
8	9893	4334	13982	5052.344263	16772,
9	9998	4251	14069	4980.577203	16857,
10	10153	4059	13964	4836.067902	16767,
11	10141	4143	14011	4947.372085	16879,
12	9964	4015	13728	4785.296955	16415,
13	9925	3831	13501	4545.061665	16040,
14	9929	3776	13383	4481.636906	15903,
15	9767	3751	13160	4394.399508	15544,
16	9717	3543	13020	4165.029122	15346,
17	9557	3547	12890	4114.273063	15110,
18	9442	3359	12550	3928.220055	14713,
19	9477	3299	12500	3871.18311	14643,
20	9182	3179	12091	3791.987117	14265,
21	8925	3046	11689	3618.941889	13764,
22	8946	3100	11850	3656.074641	13883,
23	8763	2940	11462	3449.550133	13418,
24	8662	2904	11350	3426.591202	13312,
25	8504	2933	11165	3398.519956	13004,
26	8228	2775	10747	3244.873993	12547,
27	8190	2785	10706	3200.95863	12471,
28	8138	2692	10545	3137.950013	12287,
29	7902	2587	10199	3016.169198	11917,
30	7694	2607	10032	3079.914278	11835,
31	7453	2395	9684	2827.604817	11256,
32	7442	2405	9634	2835.530421	11240,
33	7208	2456	9428	2837.174678	10953,
34	7066	2413	9282	2802.375666	10831,
35	7038	2273	9077	2614.422548	10530,
36	6695	2168	8696	2600.257781	10218,
37	6663	2155	8643	2524.828138	10043,
38	6424	2101	8349	2487.701362	9767,
39	6324	2083	8237	2480.389186	9639,
40	6040	1946	7803	2282.200392	9159,
41	6041	1924	7822	2276.714268	9145,
42	5911	1911	7648	2263.321087	8970,
43	5815	1883	7512	2181.95632	8710,
44	5595	1867	7305	2156.380261	8493,
45	5421	1731	6980	2043.97279	8193,
46	5426	1768	7024	2026.030672	8143,
47	5175	1694	6729	1983.85606	7840,
48	4979	1597	6414	1861.184406	7473,
49	5033	1606	6464	1905.394295	7564,
50	4890	1594	6334	1851.316834	7355,
51	4647	1522	6017	1792.398942	7031,
52	4617	1455	5946	1715.157599	6936,
53	4471	1468	5747	1722.019716	6773,
54	4400	1442	5679	1678.548458	6617,
55	4164	1365	5421	1597.171753	6309,
56	4413	1333	5640	1551.03642	6518,
57	4114	1324	5318	1569.528343	6193,
58	3979	1288	5112	1519.994948	5995,
59	3759	1257	4911	1438.245145	5689,
60	3804	1190	4894	1398.357045	5709,
61	3688	1179	4739	1408.838206	5558,
62	3642	1162	4707	1312.387778	5403,
63	3507	1082	4484	1282.391412	5221,
64	3437	1141	4493	1322.237681	5218,
65	3347	1146	4446	1344.087551	5159,
66	3276	1009	4174	1209.826659	4892,
67	3278	1053	4213	1202.385772	4850,
68	3182	1025	4075	1178.984636	4710,
69	3034	1009	3905	1173.581898	4574,
70	3009	947	3868	1099.93073	4462,
71	2964	958	3833	1088.833578	4443,
72	2838	916	3684	1071.428832	4261,
73	2691	874	3506	1032.773054	4076,
74	2676	889	3500	1020.809307	4027,
75	2538	869	3338	1009.027464	3905,
76	2523	777	3234	935.5811301	3788,
77	2441	778	3158	903.303306	3649,
78	2363	799	3084	928.4911432	3599,
79	2326	801	3082	894.5726618	3528,
80	2249	728	2907	843.116965	3351,
81	2096	737	2758	858.2500842	3233,
82	2091	703	2726	837.222403	3212,
83	2025	679	2639	787.3683952	3056,
84	1897	655	2505	766.6152028	2935,
85	1829	636	2434	738.9928427	2858,
86	1828	598	2369	716.6698739	2761,
87	1715	610	2286	700.718436	2658,
88	1668	550	2167	634.9369399	2538,
89	1634	527	2117	590.064228	2422,
90	1579	497	2018	574.6869314	2323,
91	1480	511	1983	590.2773658	2291,
92	1316	467	1770	539.2819172	2058,
93	1290	429	1709	509.3596931	1989,
94	1228	431	1632	486.7245786	1903,
95	1190	420	1593	477.1849397	1838,
96	1094	413	1466	477.7836539	1721,
97	1001	392	1390	439.1584187	1602,
98	1019	355	1383	403.9488353	1584,
99	940	293	1209	364.313766	1432,
100	877	276	1140	347.1582284	1342,
101	904	270	1151	332.3057692	1364,
102	729	297	1017	335.5853412	1182,
103	715	255	948	298.6575707	1107,
104	683	261	938	306.4071302	1092,
105	649	234	863	276.5465386	1009,
106	618	217	815	266.8681742	987,
107	537	195	730	252.878596	886,
108	494	209	704	243.5126954	827,
109	477	165	622	190.4584534	739,
110	467	176	626	212.8710535	748,
111	433	156	579	195.1589408	696,
112	364	133	495	160.2514867	579,
113	372	142	514	167.123557	604,
114	343	132	462	153.6920772	542,
115	337	120	441	135.9010902	508,
116	317	109	433	128.9673486	497,
117	260	98	360	117.7273171	426,
118	230	86	323	112.7476491	391,
119	237	99	333	120.9696931	400,
120	195	86	281	100.8163887	336,
121	205	77	285	102.8513244	342,
122	192	76	266	93.45450168	316,
123	166	48	214	73.4133451	272,
124	147	64	214	80.17661033	258,
125	126	63	191	82.72140975	243
